time,temperature_2m (Â°C),relative_humidity_2m (%),dew_point_2m (Â°C),precipitation (mm)
2018-01-01T00:00,-1.3,63,-7.5,0
2018-01-01T01:00,-1.5,65,-7.3,0
2018-01-01T02:00,-0.9,64,-7,0
2018-01-01T03:00,-1.4,66,-7,0
2018-01-01T04:00,-1.7,66,-7.2,0
2018-01-01T05:00,-2.1,68,-7.2,0
2018-01-01T06:00,-2.4,68,-7.5,0
2018-01-01T07:00,-2.7,69,-7.7,0
2018-01-01T08:00,-2.7,67,-7.9,0
2018-01-01T09:00,0.2,57,-7.3,0
2018-01-01T10:00,2.5,50,-7,0
2018-01-01T11:00,4,37,-9.3,0
2018-01-01T12:00,5,37,-8.6,0
2018-01-01T13:00,5.6,37,-7.8,0
2018-01-01T14:00,5.8,39,-7.3,0
2018-01-01T15:00,5.8,38,-7.3,0
2018-01-01T16:00,5.1,42,-6.6,0
2018-01-01T17:00,3.6,48,-6.3,0
2018-01-01T18:00,1.1,58,-6.3,0
2018-01-01T19:00,-0.7,67,-6.1,0
2018-01-01T20:00,-1.1,69,-6,0
2018-01-01T21:00,-0.2,57,-7.6,0
2018-01-01T22:00,0,57,-7.4,0
2018-01-01T23:00,-0.6,60,-7.3,0
2018-01-02T00:00,-1,63,-7.2,0
2018-01-02T01:00,-1.2,63,-7.3,0
2018-01-02T02:00,-1.4,65,-7.2,0
2018-01-02T03:00,-1.5,66,-7,0
2018-01-02T04:00,-1.7,67,-6.9,0
2018-01-02T05:00,-2.1,69,-7,0
2018-01-02T06:00,-2.4,70,-7.2,0
2018-01-02T07:00,-2.6,71,-7.2,0
2018-01-02T08:00,-2.3,71,-6.8,0
2018-01-02T09:00,0.9,56,-7,0
2018-01-02T10:00,4.2,43,-7.4,0
2018-01-02T11:00,6.1,45,-5,0
2018-01-02T12:00,7.6,43,-4.2,0
2018-01-02T13:00,8.1,42,-4.2,0
2018-01-02T14:00,8.8,39,-4.4,0
2018-01-02T15:00,8.1,44,-3.3,0
2018-01-02T16:00,7.2,49,-2.7,0
2018-01-02T17:00,5.5,60,-1.7,0
2018-01-02T18:00,3.8,73,-0.5,0
2018-01-02T19:00,3.2,81,0.3,0
2018-01-02T20:00,1.6,88,-0.3,0
2018-01-02T21:00,2.3,81,-0.6,0
2018-01-02T22:00,1.9,76,-2,0
2018-01-02T23:00,1,66,-4.7,0
2018-01-03T00:00,0.3,52,-8.3,0
2018-01-03T01:00,0,44,-10.9,0
2018-01-03T02:00,0,41,-11.6,0
2018-01-03T03:00,-0.7,43,-11.8,0
2018-01-03T04:00,-0.9,40,-12.8,0
2018-01-03T05:00,-1.5,42,-12.9,0
2018-01-03T06:00,-2.1,46,-12.2,0
2018-01-03T07:00,-2.5,50,-11.6,0
2018-01-03T08:00,-2.8,53,-11.1,0
2018-01-03T09:00,-1.3,52,-10,0
2018-01-03T10:00,0.7,44,-10.3,0
2018-01-03T11:00,2.3,37,-10.9,0
2018-01-03T12:00,3.3,34,-11.1,0
2018-01-03T13:00,3.6,33,-11,0
2018-01-03T14:00,3.7,33,-11.1,0
2018-01-03T15:00,3.3,36,-10.5,0
2018-01-03T16:00,2.6,40,-9.6,0
2018-01-03T17:00,1.4,46,-9.1,0
2018-01-03T18:00,0,51,-8.9,0
2018-01-03T19:00,-0.8,55,-8.7,0
2018-01-03T20:00,-1.6,59,-8.5,0
2018-01-03T21:00,-1.3,54,-9.5,0
2018-01-03T22:00,-1.5,52,-10.1,0
2018-01-03T23:00,-1.8,51,-10.5,0
2018-01-04T00:00,-1.6,49,-11,0
2018-01-04T01:00,-1.6,48,-11.3,0
2018-01-04T02:00,-1.5,46,-11.6,0
2018-01-04T03:00,-1.7,46,-11.7,0
2018-01-04T04:00,-1.8,48,-11.5,0
2018-01-04T05:00,-2,48,-11.5,0
2018-01-04T06:00,-2.6,50,-11.6,0
2018-01-04T07:00,-2.8,53,-11.1,0
2018-01-04T08:00,-2.3,51,-11.2,0
2018-01-04T09:00,-1,47,-10.8,0
2018-01-04T10:00,0.3,43,-10.7,0
2018-01-04T11:00,2.1,39,-10.4,0
2018-01-04T12:00,3.3,36,-10.2,0
2018-01-04T13:00,4.6,34,-10.1,0
2018-01-04T14:00,4.9,33,-10,0
2018-01-04T15:00,4.9,34,-9.9,0
2018-01-04T16:00,4.5,35,-9.8,0
2018-01-04T17:00,3.1,67,-2.4,0
2018-01-04T18:00,1.4,50,-7.9,0
2018-01-04T19:00,1.6,47,-8.4,0
2018-01-04T20:00,1.4,48,-8.4,0
2018-01-04T21:00,0.2,51,-8.8,0
2018-01-04T22:00,1.3,43,-9.8,0
2018-01-04T23:00,1.1,43,-10.1,0
2018-01-05T00:00,0.9,45,-9.8,0
2018-01-05T01:00,0.7,47,-9.5,0
2018-01-05T02:00,0.5,48,-9.2,0
2018-01-05T03:00,0.6,50,-8.7,0
2018-01-05T04:00,0.5,50,-8.7,0
2018-01-05T05:00,0.1,49,-9.3,0
2018-01-05T06:00,-0.5,49,-9.9,0
2018-01-05T07:00,-0.5,48,-10.1,0
2018-01-05T08:00,-0.2,47,-10.2,0
2018-01-05T09:00,0.7,48,-9.2,0
2018-01-05T10:00,2,42,-9.5,0
2018-01-05T11:00,3.7,37,-9.6,0
2018-01-05T12:00,4.7,35,-9.5,0
2018-01-05T13:00,4.8,39,-8,0
2018-01-05T14:00,4.8,45,-6.3,0
2018-01-05T15:00,4.3,49,-5.5,0
2018-01-05T16:00,3.3,54,-5.2,0
2018-01-05T17:00,1.8,60,-5.2,0
2018-01-05T18:00,0.6,67,-4.9,0
2018-01-05T19:00,0.5,69,-4.6,0
2018-01-05T20:00,0.2,71,-4.4,0
2018-01-05T21:00,1.2,63,-5.1,0
2018-01-05T22:00,0.9,67,-4.6,0
2018-01-05T23:00,0.6,69,-4.5,0
2018-01-06T00:00,0.3,70,-4.5,0
2018-01-06T01:00,0,71,-4.7,0
2018-01-06T02:00,-0.3,72,-4.8,0
2018-01-06T03:00,-0.6,73,-4.9,0
2018-01-06T04:00,-0.9,73,-5.1,0
2018-01-06T05:00,-1.2,68,-6.4,0
2018-01-06T06:00,-1.5,63,-7.6,0
2018-01-06T07:00,-1.8,67,-7.1,0
2018-01-06T08:00,-1.6,70,-6.4,0
2018-01-06T09:00,0.3,66,-5.4,0
2018-01-06T10:00,2.2,60,-4.8,0
2018-01-06T11:00,3.7,52,-5.4,0
2018-01-06T12:00,4.8,44,-6.5,0
2018-01-06T13:00,5.5,38,-7.7,0
2018-01-06T14:00,5.9,35,-8.4,0
2018-01-06T15:00,5.9,35,-8.3,0
2018-01-06T16:00,5.3,40,-7.3,0
2018-01-06T17:00,3.6,48,-6.4,0
2018-01-06T18:00,1.5,56,-6.3,0
2018-01-06T19:00,0.5,63,-5.7,0
